x= 1.000000    x^2= 1.000000    x^3= 1.000000
x= 1.100000    x^2= 1.210000    x^3= 1.331000
x= 1.200000    x^2= 1.440000    x^3= 1.728000
x= 1.300000    x^2= 1.690000    x^3= 2.197000
x= 1.400000    x^2= 1.960000    x^3= 2.744000
x= 1.500000    x^2= 2.250000    x^3= 3.375000
x= 1.600000    x^2= 2.560000    x^3= 4.096000
x= 1.700000    x^2= 2.890000    x^3= 4.913000
x= 1.800000    x^2= 3.240000    x^3= 5.832000
x= 1.900000    x^2= 3.610000    x^3= 6.859000
x= 2.000000    x^2= 4.000000    x^3= 8.000000
x= 2.100000    x^2= 4.410000    x^3= 9.261000
x= 2.200000    x^2= 4.840000    x^3= 10.648000
x= 2.300000    x^2= 5.290000    x^3= 12.167000
x= 2.400000    x^2= 5.760000    x^3= 13.824000
x= 2.500000    x^2= 6.250000    x^3= 15.625000
x= 2.600000    x^2= 6.760000    x^3= 17.576000
x= 2.700000    x^2= 7.290000    x^3= 19.683000
x= 2.800000    x^2= 7.840000    x^3= 21.952000
x= 2.900000    x^2= 8.410000    x^3= 24.389000
x= 3.000000    x^2= 9.000000    x^3= 27.000000
x= 3.100000    x^2= 9.610000    x^3= 29.791000
x= 3.200000    x^2= 10.240000    x^3= 32.768000
x= 3.300000    x^2= 10.890000    x^3= 35.937000
x= 3.400000    x^2= 11.560000    x^3= 39.304000
x= 3.500000    x^2= 12.250000    x^3= 42.875000
x= 3.600000    x^2= 12.960000    x^3= 46.656000
x= 3.700000    x^2= 13.690000    x^3= 50.653000
x= 3.800000    x^2= 14.440000    x^3= 54.872000
x= 3.900000    x^2= 15.210000    x^3= 59.319000
x= 4.000000    x^2= 16.000000    x^3= 64.000000
x= 4.100000    x^2= 16.810000    x^3= 68.921000
x= 4.200000    x^2= 17.640000    x^3= 74.088000
x= 4.300000    x^2= 18.490000    x^3= 79.507000
x= 4.400000    x^2= 19.360000    x^3= 85.184000
x= 4.500000    x^2= 20.250000    x^3= 91.125000
x= 4.600000    x^2= 21.160000    x^3= 97.336000
x= 4.700000    x^2= 22.090000    x^3= 103.823000
x= 4.800000    x^2= 23.040000    x^3= 110.592000
x= 4.900000    x^2= 24.010000    x^3= 117.649000
x= 5.000000    x^2= 25.000000    x^3= 125.000000
x= 5.100000    x^2= 26.010000    x^3= 132.651000
x= 5.200000    x^2= 27.040000    x^3= 140.608000
x= 5.300000    x^2= 28.090000    x^3= 148.877000
x= 5.400000    x^2= 29.160000    x^3= 157.464000
x= 5.500000    x^2= 30.250000    x^3= 166.375000
x= 5.600000    x^2= 31.360000    x^3= 175.616000
x= 5.700000    x^2= 32.490000    x^3= 185.193000
x= 5.800000    x^2= 33.640000    x^3= 195.112000
x= 5.900000    x^2= 34.810000    x^3= 205.379000
x= 6.000000    x^2= 36.000000    x^3= 216.000000
x= 6.100000    x^2= 37.210000    x^3= 226.981000
x= 6.200000    x^2= 38.440000    x^3= 238.328000
x= 6.300000    x^2= 39.690000    x^3= 250.047000
x= 6.400000    x^2= 40.960000    x^3= 262.144000
x= 6.500000    x^2= 42.250000    x^3= 274.625000
x= 6.600000    x^2= 43.560000    x^3= 287.496000
x= 6.700000    x^2= 44.890000    x^3= 300.763000
x= 6.800000    x^2= 46.240000    x^3= 314.432000
x= 6.900000    x^2= 47.610000    x^3= 328.509000
x= 7.000000    x^2= 49.000000    x^3= 343.000000
x= 7.100000    x^2= 50.410000    x^3= 357.911000
x= 7.200000    x^2= 51.840000    x^3= 373.248000
x= 7.300000    x^2= 53.290000    x^3= 389.017000
x= 7.400000    x^2= 54.760000    x^3= 405.224000
x= 7.500000    x^2= 56.250000    x^3= 421.875000
x= 7.600000    x^2= 57.760000    x^3= 438.976000
x= 7.700000    x^2= 59.290000    x^3= 456.533000
x= 7.800000    x^2= 60.840000    x^3= 474.552000
x= 7.900000    x^2= 62.410000    x^3= 493.039000
x= 8.000000    x^2= 64.000000    x^3= 512.000000
x= 8.100000    x^2= 65.610000    x^3= 531.441000
x= 8.200000    x^2= 67.240000    x^3= 551.368000
x= 8.300000    x^2= 68.890000    x^3= 571.787000
x= 8.400000    x^2= 70.560000    x^3= 592.704000
x= 8.500000    x^2= 72.250000    x^3= 614.125000
x= 8.600000    x^2= 73.960000    x^3= 636.056000
x= 8.700000    x^2= 75.690000    x^3= 658.503000
x= 8.800000    x^2= 77.440000    x^3= 681.472000
x= 8.900000    x^2= 79.210000    x^3= 704.969000
x= 9.000000    x^2= 81.000000    x^3= 729.000000
x= 9.100000    x^2= 82.810000    x^3= 753.571000
x= 9.200000    x^2= 84.640000    x^3= 778.688000
x= 9.300000    x^2= 86.490000    x^3= 804.357000
x= 9.400000    x^2= 88.360000    x^3= 830.584000
x= 9.500000    x^2= 90.250000    x^3= 857.375000
x= 9.600000    x^2= 92.160000    x^3= 884.736000
x= 9.700000    x^2= 94.090000    x^3= 912.673000
x= 9.800000    x^2= 96.040000    x^3= 941.192000
x= 9.900000    x^2= 98.010000    x^3= 970.299000
x= 10.000000    x^2= 100.000000    x^3= 1000.000000
